,precio_pounds,precio_euros,tamanho,London
0,346667 ,395200.37999999995,883.0,447.5655492638731
1,108333 ,123499.62,450.0,274.4436
2,108333 ,123499.62,625.0,197.599392
3,108333 ,123499.62,419.0,294.74849642004773
4,104000 ,118559.99999999999,983.0,120.61037639877924
5,95333 ,108679.62,1353.0,80.3249223946785
